nightdate,jd,field,rcid,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,seeing,difffwhm,exptime,status,exitcode,ra0,Dec-00
2023-05-29T03:52:51.001,2460093.6617014,615,0,284,2,233916170,2,19.78,19.1286,1.7446,2.38676,30,1,5,113.692,26.15
2023-05-29T03:53:31.998,2460093.6621759,662,0,242,2,233916217,2,19.84,19.1459,1.73305,2.44816,30,1,4,109.7905,33.35
2023-05-29T03:54:13.003,2460093.6626505,706,0,187,2,233916265,2,19.98,19.2027,1.66975,2.40522,30,1,3,106.08185,40.55
2023-05-29T03:54:54.000,2460093.663125,747,0,172,2,233916312,2,20.17,19.3821,1.7974,2.46615,30,1,4,110.12762,47.75
2023-05-29T03:55:34.997,2460093.6635995,782,0,190,2,233916359,2,20.18,19.426650000000002,1.7288000000000001,2.37084,30,1,1,103.90195,54.95
2023-05-29T03:56:20.996,2460093.6641319,615,0,288,2,233916413,2,19.92,19.24925,1.7542499999999999,2.3960100000000004,30,1,4,113.692,26.15
2023-05-29T03:57:02.002,2460093.6646065,662,0,232,2,233916460,2,19.97,19.23715,1.7833,2.4751,30,1,2,109.7905,33.35
2023-05-29T03:57:42.998,2460093.665081,706,0,196,2,233916508,2,20.005000000000003,19.2762,1.7923499999999999,2.48274,30,1,4,106.08185,40.55
2023-05-29T03:58:24.004,2460093.6655556,747,0,215,2,233916555,2,20.31,19.50025,1.7471,2.440405,30,1,3,110.12762,47.75
2023-05-29T03:59:05.001,2460093.6660301,782,0,259,2,233916603,2,20.31,19.514899999999997,1.7148500000000002,2.38014,30,1,0,103.90195,54.95
2023-05-29T03:59:51.000,2460093.6665625,615,0,282,2,233916656,2,20.03,19.31335,1.7394500000000002,2.3973250000000004,30,1,7,113.692,26.15
2023-05-29T04:00:31.997,2460093.667037,662,0,235,2,233916703,2,20.085,19.335549999999998,1.7178499999999999,2.472545,30,1,1,109.7905,33.35
2023-05-29T04:01:13.002,2460093.6675116,706,0,240,2,233916751,2,20.185000000000002,19.37875,1.704,2.43133,30,1,0,106.08185,40.55
2023-05-29T04:01:52.997,2460093.6679745,747,0,218,2,233916797,2,20.4,19.56655,1.7458,2.44558,30,1,2,110.12762,47.75
2023-05-29T04:02:34.002,2460093.6684491,782,0,239,2,233916844,2,20.34,19.5628,1.7354,2.40784,30,1,1,103.90195,54.95
2023-05-29T04:03:21.004,2460093.6689931,615,0,341,2,233916899,2,20.115000000000002,19.37975,1.7037499999999999,2.381465,30,1,5,113.692,26.15
