881: No extinction information found
282: extinction
435: extinction
768: extinction
745: field_prob is 0.0, likelihood is nan
751: field_prob is 0.0, likelihood is nan
752: field_prob is 0.0, likelihood is nan
753: field_prob is 0.0, likelihood is nan
754: field_prob is 0.0, likelihood is nan
755: field_prob is 0.0, likelihood is nan
756: field_prob is 0.0, likelihood is nan
757: field_prob is 0.0, likelihood is nan
758: field_prob is 0.0, likelihood is nan
759: field_prob is 0.0, likelihood is nan
760: field_prob is 0.0, likelihood is nan
761: field_prob is 0.0, likelihood is nan
762: field_prob is 0.0, likelihood is nan
763: field_prob is 0.0, likelihood is nan
764: field_prob is 0.0, likelihood is nan
765: field_prob is 0.0, likelihood is nan
766: field_prob is 0.0, likelihood is nan
767: field_prob is 0.0, likelihood is nan
782: field_prob is 0.0, likelihood is nan
786: field_prob is 0.0, likelihood is nan
787: field_prob is 0.0, likelihood is nan
788: field_prob is 0.0, likelihood is nan
789: field_prob is 0.0, likelihood is nan
790: field_prob is 0.0, likelihood is nan
791: field_prob is 0.0, likelihood is nan
792: field_prob is 0.0, likelihood is nan
793: field_prob is 0.0, likelihood is nan
794: field_prob is 0.0, likelihood is nan
795: field_prob is 0.0, likelihood is nan
796: field_prob is 0.0, likelihood is nan
797: field_prob is 0.0, likelihood is nan
798: field_prob is 0.0, likelihood is nan
799: field_prob is 0.0, likelihood is nan
800: field_prob is 0.0, likelihood is nan
801: field_prob is 0.0, likelihood is nan
817: field_prob is 0.0, likelihood is nan
818: field_prob is 0.0, likelihood is nan
819: field_prob is 0.0, likelihood is nan
820: field_prob is 0.0, likelihood is nan
821: field_prob is 0.0, likelihood is nan
822: field_prob is 0.0, likelihood is nan
823: field_prob is 0.0, likelihood is nan
824: field_prob is 0.0, likelihood is nan
825: field_prob is 0.0, likelihood is nan
826: field_prob is 0.0, likelihood is nan
827: field_prob is 0.0, likelihood is nan
828: field_prob is 0.0, likelihood is nan
842: field_prob is 0.0, likelihood is nan
843: field_prob is 0.0, likelihood is nan
844: field_prob is 0.0, likelihood is nan
845: field_prob is 0.0, likelihood is nan
846: field_prob is 0.0, likelihood is nan
847: field_prob is 0.0, likelihood is nan
848: field_prob is 0.0, likelihood is nan
849: field_prob is 0.0, likelihood is nan
858: field_prob is 0.0, likelihood is nan
860: field_prob is 0.0, likelihood is nan
861: field_prob is 0.0, likelihood is nan
862: field_prob is 0.0, likelihood is nan
863: field_prob is 0.0, likelihood is nan
864: field_prob is 0.0, likelihood is nan
865: field_prob is 0.0, likelihood is nan
866: field_prob is 0.0, likelihood is nan
873: field_prob is 0.0, likelihood is nan
874: field_prob is 0.0, likelihood is nan
875: field_prob is 0.0, likelihood is nan
876: field_prob is 0.0, likelihood is nan
