nightdate,jd,field,rcid,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,seeing,difffwhm,exptime,status,exitcode,ra0,Dec-00
2023-06-27T04:07:38.001,2460122.6719676,752,0,93,2,236817196,1,20.46,20.4031,2.9266,3.24567,300,1,5,157.25108,47.75
2023-06-27T04:12:52.998,2460122.6756134,621,44,37,2,236817561,1,20.48,20.3933,2.8131,3.15289,300,1,0,158.58229,26.15
2023-06-27T04:18:03.001,2460122.6792014,668,8,126,2,236817920,1,20.85,20.63525,2.574,2.94684,300,1,0,156.91021,33.35
2023-06-27T04:23:13.998,2460122.6828009,712,5,146,2,236818280,1,21.06,20.80025,2.5888999999999998,2.93504,300,1,0,157.78274,40.55
2023-06-27T04:28:25.997,2460122.686412,787,1,117,2,236818641,1,21.045,20.84385,3.0322500000000003,3.290115,300,1,0,158.52573,54.95
2023-06-27T04:33:36.000,2460122.69,818,9,233,2,236819000,1,21.24,20.947249999999997,2.81745,3.111515,300,1,0,166.66667,62.15
2023-06-27T04:38:47.999,2460122.6936111,860,0,76,2,236819361,1,21.205,20.918300000000002,2.8887,3.175795,300,1,0,156.0,76.55
2023-06-27T04:46:51.001,2460122.6992014,752,0,146,2,236819920,2,21.09,20.7583,2.7748,3.02824,300,1,0,157.25108,47.75
2023-06-27T04:52:05.998,2460122.7028472,621,44,40,2,236820284,2,20.5,20.3534,3.0464,3.34532,300,1,0,158.58229,26.15
2023-06-27T04:57:16.001,2460122.7064352,668,8,132,2,236820643,2,20.875,20.61975,2.5159,2.877435,300,1,0,156.91021,33.35
2023-06-27T05:02:26.998,2460122.7100347,712,5,166,2,236821003,2,21.12,20.8032,2.3445,2.76895,300,1,0,157.78274,40.55
2023-06-27T05:07:38.997,2460122.7136458,787,1,127,2,236821364,2,21.26,20.949350000000003,2.46015,2.8321,300,1,5,158.52573,54.95
2023-06-27T05:12:50.003,2460122.7172454,818,9,171,2,236821724,2,21.42,21.01435,2.4067,2.7472,300,1,3,166.66667,62.15
2023-06-27T05:18:02.002,2460122.7208565,860,0,77,2,236822085,2,21.455,21.029049999999998,2.4358,2.78941,300,1,0,156.0,76.55
2023-06-27T05:26:19.000,2460122.7266088,752,0,133,2,236822660,1,21.01,20.7145,2.6267,3.0157,300,1,0,157.25108,47.75
2023-06-27T05:31:29.997,2460122.7302083,712,5,138,2,236823020,1,20.52,20.406,3.0975,3.39405,300,1,0,157.78274,40.55
2023-06-27T05:36:41.996,2460122.7338194,787,1,107,2,236823381,1,20.87,20.690399999999997,3.03605,3.33587,300,1,0,158.52573,54.95
2023-06-27T05:41:53.002,2460122.737419,818,9,154,2,236823741,1,21.05,20.8087,2.9258,3.21635,300,1,3,166.66667,62.15
2023-06-27T05:47:02.996,2460122.7410069,842,4,214,2,236824100,1,21.42,21.0104,2.3754,2.774645,300,1,0,162.85714,69.35
2023-06-27T05:55:19.001,2460122.7467477,842,4,193,2,236824674,2,21.189999999999998,20.9127,2.6214500000000003,2.9703150000000003,300,1,0,162.85714,69.35
2023-06-27T06:03:37.996,2460122.7525231,842,4,193,2,236825252,1,21.15,20.88515,2.7268,3.0521000000000003,300,1,0,162.85714,69.35
2023-06-28T04:05:50.001,2460123.6707176,752,0,271,2,236917071,2,21.04,20.796,2.0339,2.51559,300,1,0,157.25108,47.75
2023-06-28T04:11:02.000,2460123.6743287,668,8,136,2,236917432,2,21.11,20.841700000000003,1.81545,2.3210100000000002,300,1,0,156.91021,33.35
2023-06-28T04:16:12.996,2460123.6779282,712,5,187,2,236917792,2,21.36,21.011,1.8803,2.45202,300,1,0,157.78274,40.55
2023-06-28T04:21:24.002,2460123.6815278,787,1,162,2,236918152,2,21.67,21.27145,1.7304499999999998,2.233675,300,1,0,158.52573,54.95
2023-06-28T04:26:34.999,2460123.6851273,818,9,164,2,236918512,2,21.69,21.237,1.8629,2.282615,300,1,0,166.66667,62.15
2023-06-28T04:31:46.998,2460123.6887384,860,0,106,2,236918873,2,21.85,21.372349999999997,1.58885,2.205215,300,1,0,156.0,76.55
2023-06-28T04:36:58.003,2460123.692338,842,4,261,2,236919233,2,21.84,21.38165,1.5211000000000001,2.1160449999999997,300,1,0,162.85714,69.35
2023-06-28T04:44:59.001,2460123.6979051,752,0,147,2,236919790,1,21.28,20.8703,2.2501,2.64292,300,1,0,157.25108,47.75
2023-06-28T04:50:09.997,2460123.7015046,668,8,109,2,236920150,1,20.875,20.5918,2.3305499999999997,2.73914,300,1,0,156.91021,33.35
2023-06-28T04:55:21.003,2460123.7051042,712,5,139,2,236920510,1,21.09,20.7601,2.2023,2.65008,300,1,0,157.78274,40.55
2023-06-28T05:00:33.002,2460123.7087153,787,1,120,2,236920871,1,21.405,21.006050000000002,2.0373,2.4687099999999997,300,1,0,158.52573,54.95
2023-06-28T05:05:43.999,2460123.7123148,818,9,198,2,236921231,1,21.384999999999998,20.96865,2.29005,2.67262,300,1,2,166.66667,62.15
2023-06-28T05:10:55.004,2460123.7159144,860,0,80,2,236921591,1,21.475,21.0299,2.20485,2.595885,300,1,0,156.0,76.55
2023-06-28T05:16:06.001,2460123.7195139,842,4,215,2,236921951,1,21.450000000000003,21.0309,2.08725,2.545535,300,1,0,162.85714,69.35
2023-06-28T05:24:17.004,2460123.7251968,752,0,129,2,236922519,2,21.21,20.8671,2.1035,2.5356,300,1,0,157.25108,47.75
2023-06-28T05:29:28.000,2460123.7287963,712,5,174,2,236922879,2,21.0,20.737,2.1256,2.61891,300,1,0,157.78274,40.55
2023-06-28T05:34:39.999,2460123.7324074,787,1,141,2,236923240,2,21.38,20.97795,2.1010999999999997,2.4979449999999996,300,1,0,158.52573,54.95
2023-06-28T05:39:50.996,2460123.7360069,818,9,159,2,236923600,2,21.64,21.2036,1.6595,2.18797,300,1,3,166.66667,62.15
2023-06-28T05:45:02.002,2460123.7396065,842,4,221,2,236923960,2,21.69,21.2194,1.6828,2.20808,300,1,0,162.85714,69.35
2023-06-29T04:23:28.003,2460124.682963,620,32,12,2,237018296,2,20.105,19.29535,2.3089,2.74375,30,1,14,151.10057,26.15
2023-06-29T04:25:07.000,2460124.6841088,620,32,12,2,237018410,2,19.92,19.1822,2.5448500000000003,2.9649900000000002,30,1,0,151.10057,26.15
2023-06-29T04:26:45.997,2460124.6852546,620,32,15,2,237018525,2,20.075,19.2746,2.3697999999999997,2.81639,30,1,0,151.10057,26.15
2023-06-29T04:28:24.001,2460124.6863889,620,32,10,2,237018638,2,20.095,19.28955,2.3236,2.775785,30,1,14,151.10057,26.15
2023-06-29T04:30:02.998,2460124.6875347,620,32,12,2,237018753,2,20.15,19.3172,2.2353,2.713635,30,1,0,151.10057,26.15
2023-06-29T04:39:31.000,2460124.6941088,788,29,49,3,237019410,2,21.28,20.9223,2.3471,2.73453,300,1,0,169.45049,54.95
2023-06-29T04:44:41.997,2460124.6977083,818,9,158,3,237019770,2,21.365000000000002,20.977400000000003,2.2958,2.678515,300,1,0,166.66667,62.15
2023-06-30T04:48:06.998,2460125.700081,787,1,130,3,237120008,2,21.24,20.930149999999998,1.82645,2.295035,300,1,0,158.52573,54.95
