nightdate,jd,field,rcid,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,seeing,difffwhm,exptime,status,exitcode,ra0,Dec-00
2023-07-31T03:50:45.997,2460156.6602546,714,0,6,2,240216025,2,20.03,19.1158,1.84,2.36817,30,0,32,175.01637,40.55
2023-07-31T03:51:27.003,2460156.6607292,670,5,19,2,240216072,2,19.88,18.9987,1.8159,2.369505,30,1,29,172.61679,33.35
2023-07-31T03:52:08.000,2460156.6612037,623,44,7,2,240216120,2,18.905,18.188200000000002,2.20155,2.6191899999999997,30,1,30,173.54571,26.15
2023-07-31T03:54:10.999,2460156.6626273,714,0,4,2,240216262,2,20.205,19.24205,1.752,2.30875,30,0,36,175.01637,40.55
2023-07-31T03:54:52.004,2460156.6631019,670,5,12,2,240216310,2,20.005000000000003,19.09255,1.78495,2.31967,30,0,36,172.61679,33.35
2023-07-31T03:55:33.001,2460156.6635764,623,44,17,2,240216357,2,19.005,18.2669,2.12795,2.5492049999999997,30,1,39,173.54571,26.15
2023-07-31T03:57:34.998,2460156.6649884,714,0,8,2,240216498,2,20.205,19.26395,1.8277,2.34539,30,0,36,175.01637,40.55
2023-07-31T03:58:16.003,2460156.665463,670,5,9,2,240216546,2,20.08,19.14125,1.7122,2.26595,30,0,39,172.61679,33.35
2023-07-31T03:58:57.000,2460156.6659375,623,46,1,2,240216593,2,19.69,18.8536,1.869,2.36817,30,1,46,173.54571,26.15
2023-07-31T04:00:59.999,2460156.6673611,714,0,9,2,240216736,2,20.3,19.3491,1.6844999999999999,2.27568,30,0,33,175.01637,40.55
2023-07-31T04:01:41.998,2460156.6678472,670,5,9,2,240216784,2,20.115000000000002,19.164900000000003,1.6853500000000001,2.25338,30,0,38,172.61679,33.35
2023-07-31T04:02:22.001,2460156.6683102,623,44,0,2,240216831,2,19.09,18.28245,2.08915,2.52601,30,1,52,173.54571,26.15
2023-07-31T04:04:26.003,2460156.6697454,714,0,5,2,240216974,2,20.35,19.35605,1.6166,2.2350849999999998,30,0,36,175.01637,40.55
