nightdate,jd,field,rcid,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,seeing,difffwhm,exptime,status,exitcode,ra0,Dec-00
2023-11-13T02:50:29.000,2460261.6183912,849,25,139,1,250711839,2,20.975,20.174799999999998,1.85495,2.440405,30,1,2,282.85714,69.35
2023-11-13T04:08:34.999,2460261.6726273,849,25,150,1,250717262,1,20.535,19.8433,2.5724,2.94792,30,1,0,282.85714,69.35
2023-11-13T04:09:15.002,2460261.6730903,865,0,244,1,250717309,1,20.63,19.8567,2.4129,2.81644,30,1,1,276.0,76.55
2023-11-13T04:10:02.004,2460261.6736343,850,53,45,1,250717363,1,20.57,19.93905,2.63385,2.95432,30,1,0,300.0,69.35
2023-11-13T04:13:26.996,2460261.6760069,851,48,14,1,250717600,1,20.575,19.9375,2.3434,2.72063,30,1,0,317.14286,69.35
2023-11-13T04:41:20.003,2460261.6953704,866,0,346,1,250719537,1,20.69,19.94265,2.46325,2.8520950000000003,30,1,1,300.0,76.55
2023-11-13T04:42:00.999,2460261.6958449,876,1,85,1,250719584,1,20.66,19.9164,2.5574,2.98623,30,1,0,300.0,83.75
2023-11-13T05:46:24.004,2460261.7405556,851,48,33,1,250724055,2,20.775,20.078899999999997,1.9534,2.55544,30,1,0,317.14286,69.35
2023-11-13T05:47:09.001,2460261.7410764,850,53,34,1,250724107,2,20.605,19.92785,2.1886,2.65364,30,1,0,300.0,69.35
2023-11-13T05:47:49.004,2460261.7415394,866,0,376,1,250724153,2,20.67,19.9692,2.3075,2.71133,30,1,1,300.0,76.55
2023-11-13T05:48:30.001,2460261.7420139,876,1,61,1,250724201,2,20.5,19.8596,2.6701,3.03657,30,1,4,300.0,83.75
2023-11-13T05:49:21.003,2460261.7426042,852,48,123,1,250724260,2,20.715,20.189149999999998,1.95235,2.52561,30,1,0,334.28571,69.35
2023-11-13T05:52:53.003,2460261.7450579,834,4,737,1,250724505,2,20.97,20.413200000000003,1.9637,2.519355,30,1,0,25.71429,69.35
2023-11-13T05:54:18.003,2460261.7460417,775,49,25,1,250724604,2,20.75,20.3264,1.8921,2.6738,30,1,0,28.13537,54.95
2023-11-13T06:12:49.003,2460261.7589005,853,32,308,1,250725890,2,20.65,20.082749999999997,1.8551,2.46743,30,1,0,351.42857,69.35
2023-11-13T06:13:30.000,2460261.759375,868,0,622,1,250725937,2,20.755000000000003,20.07815,1.9827,2.5788149999999996,30,1,0,348.0,76.55
2023-11-13T06:14:14.004,2460261.7598843,806,48,33,1,250725988,2,20.65,20.0704,1.8059,2.67616,30,1,0,6.66667,62.15
2023-11-13T06:17:00.004,2460261.7618056,807,16,696,1,250726180,2,20.92,20.36705,1.6782,2.50048,30,1,0,20.0,62.15
2023-11-13T06:17:42.003,2460261.7622917,833,0,767,1,250726229,2,20.78,20.2147,1.8925,2.58493,30,1,0,8.57143,69.35
2023-11-13T06:18:21.997,2460261.7627546,854,4,283,1,250726275,2,20.86,20.14785,1.8136,2.46487,30,1,0,12.0,76.55
2023-11-13T06:19:46.998,2460261.7637384,808,5,622,1,250726373,2,20.67,20.1662,2.08475,2.594675,30,1,2,33.33333,62.15
2023-11-13T06:39:34.004,2460261.7774769,303,3,70,1,250727747,2,20.89,20.0394,2.1247,2.60683,30,1,3,65.36446,-17.05
2023-11-13T06:40:13.999,2460261.7779398,354,1,169,1,250727793,2,20.97,20.07725,2.12065,2.58493,30,1,1,68.64348,-9.85
2023-11-13T06:45:12.001,2460261.7813889,406,14,5,2,250728138,2,21.13,20.2432,1.9579,2.4546,30,1,0,71.99519,-2.65
2023-11-13T06:45:55.002,2460261.7818866,404,0,91,1,250728188,2,21.18,20.294,2.0577,2.49036,30,1,0,57.9375,-2.65
2023-11-13T06:46:35.999,2460261.7823611,455,1,325,1,250728236,2,21.405,20.4316,1.81045,2.41439,30,1,1,61.32616,4.55
2023-11-13T06:54:59.003,2460261.7881829,776,61,22,1,250728818,2,20.86,20.3624,1.9863,2.52561,30,1,0,38.72562,54.95
2023-11-13T06:56:38.000,2460261.7893287,877,5,72,1,250728932,2,20.94,20.1362,2.0602,2.5181,30,1,0,340.0,83.75
2023-11-13T06:57:22.003,2460261.789838,867,0,454,1,250728983,2,20.77,20.1183,2.179,2.68088,30,1,0,324.0,76.55
2023-11-13T07:24:11.998,2460261.8084722,775,49,23,1,250730847,1,21.05,20.4875,1.8003,2.59955,30,1,0,28.13537,54.95
2023-11-13T07:25:35.003,2460261.8094329,776,61,30,1,250730943,1,21.12,20.4589,1.9617,2.51559,30,1,0,38.72562,54.95
2023-11-13T07:26:57.998,2460261.8103935,808,5,511,1,250731039,1,21.235,20.61135,1.99415,2.543055,30,1,0,33.33333,62.15
2023-11-13T07:27:39.004,2460261.8108681,834,4,393,1,250731086,1,21.32,20.5993,1.88845,2.4519149999999996,30,1,0,25.71429,69.35
2023-11-13T07:28:22.999,2460261.8113773,833,0,660,1,250731137,1,21.244999999999997,20.545499999999997,1.84105,2.52061,30,1,0,8.57143,69.35
2023-11-13T07:29:04.004,2460261.8118519,806,48,15,1,250731185,1,21.1,20.3558,1.7414,2.69498,30,1,0,6.66667,62.15
2023-11-13T07:30:27.000,2460261.8128125,853,32,229,1,250731281,1,21.045,20.428600000000003,1.9783,2.53311,30,1,0,351.42857,69.35
2023-11-13T07:44:45.997,2460261.8227546,877,5,85,1,250732275,1,21.17,20.2515,2.1363,2.68559,30,1,0,340.0,83.75
2023-11-13T07:46:17.003,2460261.8238079,807,16,592,1,250732380,1,21.265,20.61905,1.8525,2.51559,30,1,0,20.0,62.15
2023-11-13T07:46:57.999,2460261.8242824,854,4,354,1,250732428,1,21.185000000000002,20.42655,2.0248,2.5443,30,1,0,12.0,76.55
2023-11-13T07:56:19.003,2460261.8307755,406,14,4,2,250733077,1,21.65,20.5739,1.8845,2.40259,30,1,0,71.99519,-2.65
2023-11-13T07:57:00.000,2460261.83125,405,1,253,1,250733125,1,21.67,20.58095,1.9508999999999999,2.444285,30,1,0,64.96635,-2.65
2023-11-13T08:33:47.002,2460261.856794,455,1,862,3,250735679,2,22.41,21.658,1.80735,2.34674,300,1,0,61.32616,4.55
2023-11-13T08:38:56.996,2460261.8603819,455,1,714,3,250736038,2,22.33,21.552,1.9558499999999999,2.4725349999999997,300,1,1,61.32616,4.55
2023-11-13T08:44:08.002,2460261.8639815,455,1,767,3,250736398,2,22.3,21.5824,1.8361,2.37084,300,1,1,61.32616,4.55
2023-11-13T09:53:14.001,2460261.9119676,355,14,3,1,250741196,1,21.16,20.2913,2.3886,2.80971,30,1,0,75.69267,-9.85
2023-11-13T09:53:54.997,2460261.9124421,406,14,2,1,250741244,1,21.33,20.3928,2.1488,2.59469,30,1,0,71.99519,-2.65
2023-11-13T09:54:36.003,2460261.9129167,354,1,206,1,250741291,1,21.18,20.284149999999997,2.3201,2.735675,30,1,1,68.64348,-9.85
2023-11-13T09:58:08.996,2460261.9153819,455,1,196,1,250741538,1,21.19,20.2564,2.37355,2.7894,30,1,0,61.32616,4.55
2023-11-13T10:09:14.000,2460261.9230787,406,14,1,2,250742307,1,21.05,20.1679,2.368,2.75982,30,1,0,71.99519,-2.65
2023-11-13T10:15:48.001,2460261.9276389,305,12,26,1,250742763,1,21.0,20.20295,2.2899,2.7482100000000003,30,1,0,79.52832,-17.05
